#Note: Please remove semicolon (;) from your file editor's list of delimiter or separator characters.
#Id,Parent Id,Code,Name,Sizes,Description,Placements,Target Window,Labels,Special Ad Unit
64323893,64299533,community/abc-research,abc-research,300x250; 320x50; 728x90,No description,,,,no
64302653,64299533,community/abortion,abortion,300x250; 320x50; 728x90,No description,,,,no
64322453,64299533,community/abuse-survivors,abuse-survivors,300x250; 320x50; 728x90,No description,,,,no
64299653,64299533,community/acupuncture,acupuncture,300x250; 320x50; 728x90,No description,,,,no
64302173,64299533,community/add-and-adhd,add-and-adhd,300x250; 320x50; 728x90,No description,,,,no
64317173,64299533,community/advanced-breast-cancer,advanced-breast-cancer,300x250; 320x50; 728x90,No description,,,,no
64302293,64299533,community/agmd-gi-motility,agmd-gi-motility,300x250; 320x50; 728x90,No description,,,,no
64302893,64299533,community/alcohol-abuse,alcohol-abuse,300x250; 320x50; 728x90,No description,,,,no
74876213,64299533,community/allergies,allergies,300x250; 320x50; 728x90,,,,,no
64302413,64299533,community/als,als,300x250; 320x50; 728x90,No description,,,,no
64302533,64299533,community/als-association,als-association,300x250; 320x50; 728x90,No description,,,,no
64299773,64299533,community/alternative-therapies,alternative-therapies,300x250; 320x50; 728x90,No description,,,,no
64303133,64299533,community/alzheimers-foundation-of-america,alzheimers-foundation-of-america,300x250; 320x50; 728x90,No description,,,,no
64304813,64299533,community/american-brain-tumor-association,american-brain-tumor-association,300x250; 320x50; 728x90,No description,,,,no
64317533,64299533,community/american-childhood-cancer-organization,american-childhood-cancer-organization,300x250; 320x50; 728x90,No description,,,,no
64317653,64299533,community/american-liver-foundation,american-liver-foundation,300x250; 320x50; 728x90,No description,,,,no
64322333,64299533,community/american-lung-association-copd,american-lung-association-copd,300x250; 320x50; 728x90,No description,,,,no
64309973,64299533,community/american-lung-association-lung-cancer-survivors,american-lung-association-lung-cancer-survivors,300x250; 320x50; 728x90,No description,,,,no
64310093,64299533,community/american-lung-association-lung-disease,american-lung-association-lung-disease,300x250; 320x50; 728x90,No description,,,,no
64313453,64299533,community/american-sexual-health-association,american-sexual-health-association,300x250; 320x50; 728x90,No description,,,,no
64316573,64299533,community/amyloidosis,amyloidosis,300x250; 320x50; 728x90,No description,,,,no
64319213,64299533,community/appendix-cancer-pseudomyxoma-peritonei-pmp,appendix-cancer-pseudomyxoma-peritonei-pmp,300x250; 320x50; 728x90,No description,,,,no
64303373,64299533,community/arthritis-foundation,arthritis-foundation,300x250; 320x50; 728x90,No description,,,,no
64303733,64299533,community/autoimmune-diseases,autoimmune-diseases,300x250; 320x50; 728x90,No description,,,,no
64303853,64299533,community/bacterial-infections,bacterial-infections,300x250; 320x50; 728x90,No description,,,,no
64299893,64299533,community/bereavement,bereavement,300x250; 320x50; 728x90,No description,,,,no
64305653,64299533,community/beyond-celiac,beyond-celiac,300x250; 320x50; 728x90,No description,,,,no
64303973,64299533,community/birth-control-and-contraceptives,birth-control-and-contraceptives,300x250; 320x50; 728x90,No description,,,,no
64304093,64299533,community/bladder-cancer-advocacy-network,bladder-cancer-advocacy-network,300x250; 320x50; 728x90,No description,,,,no
64304213,64299533,community/bladder-diseases,bladder-diseases,300x250; 320x50; 728x90,No description,,,,no
64304333,64299533,community/blood-and-lymphatic-disorders,blood-and-lymphatic-disorders,300x250; 320x50; 728x90,No description,,,,no
64304453,64299533,community/blood-pressure,blood-pressure,300x250; 320x50; 728x90,No description,,,,no
64304573,64299533,community/bones-joints-and-muscles,bones-joints-and-muscles,300x250; 320x50; 728x90,No description,,,,no
64304693,64299533,community/brain-and-nervous-system,brain-and-nervous-system,300x250; 320x50; 728x90,No description,,,,no
64304933,64299533,community/breast-cancer,breast-cancer,300x250; 320x50; 728x90,No description,,,,no
64305053,64299533,community/bug-borne-diseases,bug-borne-diseases,300x250; 320x50; 728x90,No description,,,,no
