Community ID (AWS),Inspire_Name,Ad Unit Name (DFP),Topic_ID (DFP…sometimes AWS),topic_name_id
200234,abc-research,abc-research,2769,welcoming-new-members
200234,abc-research,abc-research,2764,living-my-life
200234,abc-research,abc-research,2747,taking-my-medicine
200234,abc-research,abc-research,2736,learning-about-my-diagnosis
200234,abc-research,abc-research,2733,getting-to-know-each-other
200234,abc-research,abc-research,2732,welcome
200033,abortion,abortion,38,i-am-considering-having-an-abortion
200033,abortion,abortion,39,post-procedure-emotions
200033,abortion,abortion,40,finding-a-provider
200033,abortion,abortion,41,in-the-news
200222,abuse-survivors,abuse-survivors,2548,abuse-of-the-elderly
200222,abuse-survivors,abuse-survivors,2549,bullying
200222,abuse-survivors,abuse-survivors,2550,child-abuse-and-neglect
200222,abuse-survivors,abuse-survivors,2551,domestic-relationship-abuse
200222,abuse-survivors,abuse-survivors,2552,emotional-abuse
200222,abuse-survivors,abuse-survivors,2553,physical-abuse
200222,abuse-survivors,abuse-survivors,2554,self-harm-injury
200222,abuse-survivors,abuse-survivors,2555,sexual-abuse-and-assault
200001,acupuncture,acupuncture,42,why-i-use-acupuncture
200001,acupuncture,acupuncture,43,success-stories
200001,acupuncture,acupuncture,44,finding-a-provider
200001,acupuncture,acupuncture,45,in-the-news
200029,add-and-adhd,add-and-adhd,1,raising-a-child-with-add-adhd
200029,add-and-adhd,add-and-adhd,2,adult-add
200029,add-and-adhd,add-and-adhd,3,how-add-adhd-affects-my-life
200029,add-and-adhd,add-and-adhd,6,school
200029,add-and-adhd,add-and-adhd,7,questions
200029,add-and-adhd,add-and-adhd,4,symptoms
200029,add-and-adhd,add-and-adhd,5,treatment
200029,add-and-adhd,add-and-adhd,8,in-the-news
200170,advanced-breast-cancer,advanced-breast-cancer,1560,getting-the-diagnosis
200170,advanced-breast-cancer,advanced-breast-cancer,1561,newly-diagnosed
200170,advanced-breast-cancer,advanced-breast-cancer,1562,recurrence
200170,advanced-breast-cancer,advanced-breast-cancer,1563,treatment-options
200170,advanced-breast-cancer,advanced-breast-cancer,1575,living-with-cancer
200170,advanced-breast-cancer,advanced-breast-cancer,1564,clinical-trials
200170,advanced-breast-cancer,advanced-breast-cancer,1565,research-findings
200170,advanced-breast-cancer,advanced-breast-cancer,1566,support-groups
200170,advanced-breast-cancer,advanced-breast-cancer,1567,taking-charge-being-a-proactive-patient
200170,advanced-breast-cancer,advanced-breast-cancer,1568,financial-issues
200170,advanced-breast-cancer,advanced-breast-cancer,1569,workplace-issues
200170,advanced-breast-cancer,advanced-breast-cancer,1574,mothering-with-mets
200170,advanced-breast-cancer,advanced-breast-cancer,1570,family-and-caregivers
200170,advanced-breast-cancer,advanced-breast-cancer,1571,younger-women
200170,advanced-breast-cancer,advanced-breast-cancer,1572,minority-women
200170,advanced-breast-cancer,advanced-breast-cancer,2321,in-memoriam
200170,advanced-breast-cancer,advanced-breast-cancer,1573,news
200030,agmd-gi-motility,agmd-gi-motility,9,nutrition
200030,agmd-gi-motility,agmd-gi-motility,10,pediatric
200030,agmd-gi-motility,agmd-gi-motility,11,inability-to-eat
200030,agmd-gi-motility,agmd-gi-motility,12,dealing-with-the-fear
200030,agmd-gi-motility,agmd-gi-motility,13,living-with-an-invisible-illness
200030,agmd-gi-motility,agmd-gi-motility,14,coping-with-chronic-illness
200030,agmd-gi-motility,agmd-gi-motility,15,depression
200030,agmd-gi-motility,agmd-gi-motility,16,understanding
200030,agmd-gi-motility,agmd-gi-motility,17,social-impact
